date,quarter,num_components,raw_weight_coverage,index_iv,out_of_bounds,implied,realized,spread,zscore,position,position_change,pnl,cumulative_pnl
2015-10-01,2015Q3,88,0.7588698167271939,0.20452,False,0.457101969902288,0.7520133211886815,-0.2949113512863934,,0,0.0,,
2015-10-02,2015Q3,88,0.7588698167271939,0.1878659999999999,False,0.402209725290746,0.7494622515282541,-0.3472525262375081,,0,0.0,0.0,0.0
2015-10-05,2015Q3,88,0.7588698167271939,0.1703879999999999,False,0.3848448364050627,0.7319226652960596,-0.347077828890997,,0,0.0,-0.0,0.0
2015-10-06,2015Q3,88,0.7588698167271939,0.1716385,False,0.3794534419651077,0.6863351264232276,-0.3068816844581198,,0,0.0,-0.0,0.0
2015-10-07,2015Q3,88,0.7588698167271939,0.1633775,False,0.3437134345769895,0.6805036657531834,-0.3367902311761939,,0,0.0,0.0,0.0
2015-10-08,2015Q3,89,0.7615460292526129,0.152171,False,0.3010887985406346,0.6266310990656423,-0.3255423005250077,,0,0.0,-0.0,0.0
2015-10-09,2015Q3,89,0.7615460292526129,0.1459885,False,0.2906634168374714,0.601198970616387,-0.3105355537789157,,0,0.0,-0.0,0.0
2015-10-12,2015Q3,127,0.8900994004994115,0.1431204999999999,False,0.3182447804714325,0.6078904564872502,-0.2896456760158176,,0,0.0,-0.0,0.0
2015-10-13,2015Q3,127,0.8900994004994115,0.1514585,False,0.3534721194459416,0.6093312483458603,-0.2558591288999187,,0,0.0,-0.0,0.0
2015-10-14,2015Q3,127,0.8900994004994115,0.1551779999999999,False,0.3608543438851755,0.5415933536600721,-0.1807390097748966,,0,0.0,-0.0,0.0
2015-10-15,2015Q3,127,0.8900994004994115,0.138896,False,0.3185500760889905,0.5268314587789646,-0.2082813826899741,,0,0.0,0.0,0.0
2015-10-16,2015Q3,127,0.8900994004994115,0.1284155,False,0.2902008471402144,0.5282727975663493,-0.2380719504261348,,0,0.0,0.0,0.0
2015-10-19,2015Q3,126,0.8878116219647938,0.1285525,False,0.2979767556454477,0.5018304800938305,-0.2038537244483828,,0,0.0,-0.0,0.0
2015-10-20,2015Q3,127,0.8900994004994115,0.132147,False,0.3087767547811961,0.4501656834449273,-0.1413889286637312,,0,0.0,-0.0,0.0
2015-10-21,2015Q3,127,0.8900994004994115,0.145345,False,0.3534166970008929,0.4288951582633841,-0.0754784612624911,,0,0.0,-0.0,0.0
2015-10-22,2015Q3,126,0.8878116219647938,0.1299334999999999,False,0.2923353075264883,0.4227702508954442,-0.1304349433689559,,0,0.0,0.0,0.0
2015-10-23,2015Q3,127,0.8900994004994115,0.1244935,False,0.3046899633077085,0.3975618559033931,-0.0928718925956846,,0,0.0,-0.0,0.0
2015-10-26,2015Q3,127,0.8900994004994115,0.1318665,False,0.3326342695783768,0.3875117007662507,-0.0548774311878739,,0,0.0,-0.0,0.0
2015-10-27,2015Q3,125,0.8777160197473675,0.1328295,False,0.3321524219859754,0.3700970709826113,-0.0379446489966359,,0,0.0,-0.0,0.0
2015-10-28,2015Q3,125,0.8843275392146747,0.123608,False,0.3304449239438414,0.3685420980579286,-0.0380971741140871,,0,0.0,0.0,0.0
2015-10-29,2015Q3,126,0.8879358485687808,0.124779,False,0.3343634574128942,0.374173882046358,-0.0398104246334637,,0,0.0,0.0,0.0
